id;direction;amount;balance_before;balance_after;create_at;update_at;create_by;update_by
1;DEBIT;21928;2036;58570;2023-03-15T15:05:26;2023-03-14T23:36:45;program;a hacking Bike
2;DEBIT;53624;75635;25122;2023-03-14T19:33:31;2023-03-15T05:27:36;reintermediate RAM;Account Directeur Rubber
3;CREDIT;26952;23624;37837;2023-03-15T11:39:09;2023-03-15T02:39:55;a Mauritanie;cross-platform Awesome
4;DEBIT;68730;77390;40606;2023-03-14T20:55:55;2023-03-15T09:59:50;feed;Nord-Pas-de-Calais Faubourg
5;CREDIT;41747;7061;45662;2023-03-14T18:38:11;2023-03-15T13:59:34;Cotton Pants Turkménistan;exploit Handmade Computer
6;CREDIT;89039;74640;35287;2023-03-15T00:07:34;2023-03-15T10:29:13;Technicien;Customer-focused
7;DEBIT;57231;16675;46447;2023-03-15T01:06:55;2023-03-15T05:30:42;concept Loan;Borders
8;DEBIT;75087;50553;24012;2023-03-14T19:03:44;2023-03-15T04:39:55;Aquitaine;Ameliorated bus Sausages
9;CREDIT;13415;26731;56543;2023-03-15T09:59:30;2023-03-15T08:06:45;Multi-channelled d'Abbeville Montmorency;state Configurable
10;DEBIT;6395;34271;5632;2023-03-15T12:18:40;2023-03-15T11:27:30;Bedfordshire quantify fuchsia;networks
